2912593390	"HCA Midwest Division"	"MO-USA"	"Academia"
2802333222	"Rehabilitation Institute of Michigan"	"MI-USA"	"Academia"
135873369	"Sister Kenny Rehabilitation Institute"	"MN-USA"	"Academia"
2802136459	"Martin Luther King, Jr. Multi-Service Ambulatory Care Center"	"CA-USA"	"Academia"
2800558167	"UPMC Altoona"	"PA-USA"	"Academia"
2799586594	"Manhattan Psychiatric Center"	"NY-USA"	"Academia"
2799735646	"Puget Sound Blood Center"	"WA-USA"	"Academia"
2800100691	"Ayurvedic Institute"	"NM-USA"	"Academia"
1299555466	"Creedmoor Psychiatric Center"	"NY-USA"	"Academia"
7746217	"Washington Cancer Institute"	"WDC-USA"	"Academia"
82491046	"BlueCross BlueShield of Tennessee"	"TN-USA"	"Academia"
1305258596	"Lovelace Respiratory Research Institute"	"NM-USA"	"Academia"
2800717037	"University of Florida Health"	"FL-USA"	"Academia"
2800638129	"Pacific Tower"	"WA-USA"	"Academia"
179638627	"Cancer Treatment Centers of America"	"FL-USA"	"Academia"
2801043750	"Bacharach Institute for Rehabilitation"	"NJ-USA"	"Academia"
2800547265	"North Central Cancer Treatment Group"	"MN-USA"	"Academia"
1311717221	"Nevada Cancer Institute"	"NV-USA"	"Academia"
2803011925	"J. Iverson Riddle Developmental Center"	"NC-USA"	"Academia"
157122930	"Aaron Diamond AIDS Research Center"	"NY-USA"	"Academia"
1297883686	"McLaren Flint"	"MI-USA"	"Academia"
1332479046	"Seattle Cancer Care Alliance"	"WDC-USA"	"Academia"
320755355	"Children's of Alabama"	"AL-USA"	"Academia"
871049931	"Wills Eye Institute"	"PA-USA"	"Academia"
2801665543	"Mary Bird Perkins Cancer Center"	"LA-USA"	"Academia"
169071179	"Cancer Research Institute"	"NY-USA"	"Academia"
1343675862	"New York Blood Center"	"NY-USA"	"Academia"
1311191458	"La Jolla Institute for Allergy and Immunology"	"CA-USA"	"Academia"
2750212522	"Cold Spring Harbor Laboratory"	"NY-USA"	"Academia"
2802422659	"Ragon Institute of MGH, MIT and Harvard"	"MA-USA"	"Academia"
1343864894	"American Red Cross"	"WDC-USA"	"Academia"
1343052199	"Kaiser Permanente"	"CA-USA"	"Academia"
2799612764	"American Childhood Cancer Organization"	"MD-USA"	"Academia"
